LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNCIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
NYC,BLISS DELI & GROCERY CORP,4622 QUEENS BOULEVARD,SUNNYSIDE,NY,11104,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"4622 QUEENS BOULEVARD
SUNNYSIDE, NY 11104
(40.742926268000076, -73.91821291099996)"
NYC,2355 DELI & GROCERY CORP,2355 GRAND CONCOURSE,BRONX,NY,10468,BRONX,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"2355 GRAND CONCOURSE
BRONX, NY 10468
(40.85901719700007, -73.89924838099995)"
NYC,4G DELI CORP,11316 SUTPHIN BOULEVARD,JAMAICA,NY,11435,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"11316 SUTPHIN BOULEVARD
JAMAICA, NY 11435
(40.68646109600007, -73.79406595499995)"
NYC,124 STOP 1 FOOD MART INC,124 UNION STREET,BROOKLYN,NY,11231,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"124 UNION STREET
BROOKLYN, NY 11231
(40.68419413200007, -74.00244823299994)"
NYC,KAID ABDULLA NAGI,2185 PACIFIC STREET,BROOKLYN,NY,11233,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2185 PACIFIC STREET
BROOKLYN, NY 11233
(40.675747510000065, -73.91400869999995)"
NYC,"CAMPOS BAGELS & DELI, INC",3962 RICHMOND  AVENUE,STATEN ISLAND,NY,10312,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"3962 RICHMOND AVENUE
STATEN ISLAND, NY 10312
(40.54162456100005, -74.16267723099998)"
NYC,1224 MANHATTAN DELI CORP/DELI NASSAU,183 NASSAU AVENUE,BROOKLYN,NY,11222,NEW YORK CITY,NEW YORK CITY,DELICATESSEN,05/09/2016,"183 NASSAU AVENUE
BROOKLYN, NY 11222
(40.725407405000055, -73.94587905399999)"
NYC,SAI NEWS INC,11327A QUEENS BOULEVARD,FOREST HILLS,NY,11375,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"11327A QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.71769739000007, -73.83531097299993)"
NYC,MARINA GOURMET DELI INC,246 EAST 23RD STREET,NEW YORK,NY,10010,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"246 EAST 23RD STREET
NEW YORK, NY 10010
(40.73805461100005, -73.98136139699994)"
NYC,QUICK DELI & CANDY CORP,8202 ROOSEVELT  AVENUE,JACKSON HEIGHTS,NY,11372,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"8202 ROOSEVELT AVENUE
JACKSON HEIGHTS, NY 11372
(40.74763296700007, -73.88371764399994)"
